GATE_START 2026-08-11T08:42:48+00:00 rev=a517402 scope=tail
== baseline: cargo check --workspace
   baseline OK
== candidates enumerated: 533  (inherent `pub fn` only; trait methods are out of scope)
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:995  census
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:1002  refusal_census
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:1010  promote_diag
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:1018  ring_census
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:1028  applied
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:1039  inert
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:1052  held
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:1064  promoted
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:1070  gpu
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:1084  deliver
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:1712  new
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:1723  with_limits
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:1793  mc_service_state
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:1800  claims
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:1810  census
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:1840  applied
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:1853  gpu
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:1864  gpu_mut
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:1878  deliver
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:2686  new
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:2735  claims
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:2741  snapshot
   ORPHAN  crates/kayfabe-rmrpc/src/reasm.rs:204  new
   ORPHAN  crates/kayfabe-rmrpc/src/reasm.rs:210  with_limits
   ORPHAN  crates/kayfabe-rmrpc/src/reasm.rs:216  limits
   ORPHAN  crates/kayfabe-rmrpc/src/reasm.rs:226  in_flight
   ORPHAN  crates/kayfabe-rmrpc/src/reasm.rs:235  held_bytes
   ORPHAN  crates/kayfabe-rmrpc/src/reasm.rs:245  accept
   ORPHAN  crates/kayfabe-shell/src/reactor.rs:164  registrar
   ORPHAN  crates/kayfabe-shell/src/reactor.rs:185  wake
   ORPHAN  crates/kayfabe-shell/src/reactor.rs:196  shutdown
   ORPHAN  crates/kayfabe-shell/src/reactor.rs:203  stats
   ORPHAN  crates/kayfabe-shell/src/reactor.rs:240  new
   ORPHAN  crates/kayfabe-shell/src/reactor.rs:277  stats
   ORPHAN  crates/kayfabe-shell/src/reactor.rs:289  run
   ORPHAN  crates/kayfabe-shell/src/reactor.rs:303  run_with
   ORPHAN  crates/kayfabe-shell/src/sources.rs:150  of
   ORPHAN  crates/kayfabe-shell/src/sources.rs:258  new
   ORPHAN  crates/kayfabe-shell/src/sources.rs:274  with_bound
   ORPHAN  crates/kayfabe-shell/src/sources.rs:284  bound
   ORPHAN  crates/kayfabe-shell/src/sources.rs:290  armed
   ORPHAN  crates/kayfabe-shell/src/sources.rs:308  arm
   ORPHAN  crates/kayfabe-shell/src/sources.rs:361  disarm
   ORPHAN  crates/kayfabe-shell/src/sources.rs:398  arm_counter
   ORPHAN  crates/kayfabe-shell/src/sources.rs:415  arm_channel
   ORPHAN  crates/kayfabe-shell/src/sources.rs:433  disarm_all
   ORPHAN  crates/kayfabe-shell/src/sources.rs:444  armed_ever
   ORPHAN  crates/kayfabe-shell/src/sources.rs:456  resolve
   ORPHAN  crates/kayfabe-shell/src/sources.rs:491  poller
   ORPHAN  crates/kayfabe-trace/src/budget.rs:46  bump
   ORPHAN  crates/kayfabe-trace/src/budget.rs:53  of
   ORPHAN  crates/kayfabe-trace/src/budget.rs:59  total
   ORPHAN  crates/kayfabe-trace/src/budget.rs:70  silent_kinds
   ORPHAN  crates/kayfabe-trace/src/budget.rs:79  seen_kinds
   ORPHAN  crates/kayfabe-trace/src/budget.rs:89  is_silent
   ORPHAN  crates/kayfabe-trace/src/budget.rs:95  wire_total
   ORPHAN  crates/kayfabe-trace/src/budget.rs:105  core_total
   ORPHAN  crates/kayfabe-trace/src/budget.rs:112  absorb
   ORPHAN  crates/kayfabe-trace/src/event.rs:132  bytes
   ORPHAN  crates/kayfabe-trace/src/event.rs:380  of
   ORPHAN  crates/kayfabe-trace/src/event.rs:650  index
   ORPHAN  crates/kayfabe-trace/src/event.rs:673  is_wire
   ORPHAN  crates/kayfabe-trace/src/event.rs:712  kind
   ORPHAN  crates/kayfabe-trace/src/event.rs:738  refusal
   ORPHAN  crates/kayfabe-trace/src/sink.rs:108  new
   ORPHAN  crates/kayfabe-trace/src/sink.rs:116  records
   ORPHAN  crates/kayfabe-trace/src/sink.rs:122  len
   ORPHAN  crates/kayfabe-trace/src/sink.rs:128  is_empty
   ORPHAN  crates/kayfabe-trace/src/sink.rs:137  projection
   ORPHAN  crates/kayfabe-trace/src/sink.rs:142  filter
   ORPHAN  crates/kayfabe-trace/src/sink.rs:199  new
   ORPHAN  crates/kayfabe-trace/src/sink.rs:208  trace
   ORPHAN  crates/kayfabe-trace/src/sink.rs:214  counters
   ORPHAN  crates/kayfabe-trace/src/sink.rs:220  sink
   ORPHAN  crates/kayfabe-trace/src/sink.rs:225  sink_mut
   ORPHAN  crates/kayfabe-trace/src/sink.rs:231  into_sink
   ORPHAN  crates/kayfabe-trace/src/sink.rs:278  is_enabled
   ORPHAN  crates/kayfabe-trace/src/sink.rs:288  emit
   ORPHAN  crates/kayfabe-trace/src/sink.rs:300  emit_now
   ORPHAN  crates/kayfabe-trace/src/sink.rs:310  next_seq
   ORPHAN  crates/kayfabe-util/src/interval_map.rs:72  new
   ORPHAN  crates/kayfabe-util/src/interval_map.rs:86  is_empty
   ORPHAN  crates/kayfabe-util/src/interval_map.rs:153  next_from
   ORPHAN  crates/kayfabe-util/src/lock.rs:93  bit
   ORPHAN  crates/kayfabe-util/src/lock.rs:153  held_rank_mask
   ORPHAN  crates/kayfabe-util/src/lock.rs:170  acquisitions
   ORPHAN  crates/kayfabe-util/src/lockwitness.rs:87  note_acquired
   ORPHAN  crates/kayfabe-util/src/lockwitness.rs:98  note_released
   ORPHAN  crates/kayfabe-util/src/lockwitness.rs:117  held_ranks
   ORPHAN  crates/kayfabe-util/src/lockwitness.rs:127  acquisitions
   ORPHAN  crates/kayfabe-util/src/time.rs:31  since
   ORPHAN  crates/kayfabe-vmm-kvm/src/lib.rs:830  realize
   ORPHAN  crates/kayfabe-vmm-kvm/src/lib.rs:893  vmm
   ORPHAN  crates/kayfabe-vmm-kvm/src/lib.rs:901  page_size
   ORPHAN  crates/kayfabe-vmm-kvm/src/lib.rs:907  memslot_ceiling
   ORPHAN  crates/kayfabe-vmm-kvm/src/lib.rs:935  install_ram_window
   ORPHAN  crates/kayfabe-vmm-kvm/src/lib.rs:1129  remove_window
   ORPHAN  crates/kayfabe-vmm-kvm/src/lib.rs:1221  declare_device_window
   ORPHAN  crates/kayfabe-vmm-kvm/src/lib.rs:1242  register_backing
   ORPHAN  crates/kayfabe-vmm-kvm/src/lib.rs:1272  resolve_region
   ORPHAN  crates/kayfabe-vmm-kvm/src/lib.rs:1279  audit
   ORPHAN  crates/kayfabe-vmm-kvm/src/lib.rs:1291  assert_map_matches_the_kernel
   ORPHAN  crates/kayfabe-vmm-kvm/src/lib.rs:1371  advance
   ORPHAN  crates/kayfabe-vmm-kvm/src/lib.rs:1385  drain_irqs
   ORPHAN  crates/kayfabe-vmm-kvm/src/lib.rs:1442  audit
   ORPHAN  crates/kayfabe-vmm-kvm/src/slotnum.rs:69  new
   ORPHAN  crates/kayfabe-vmm-kvm/src/slotnum.rs:80  ceiling
   ORPHAN  crates/kayfabe-vmm-kvm/src/slotnum.rs:86  recycled
   ORPHAN  crates/kayfabe-vmm-kvm/src/slotnum.rs:92  live
   ORPHAN  crates/kayfabe-vmm-kvm/src/slotnum.rs:107  alloc
   ORPHAN  crates/kayfabe-vmm-kvm/src/slotnum.rs:138  release
   ORPHAN  crates/kayfabe-vmm-kvm/src/vcpu.rs:152  create_vcpu
   ORPHAN  crates/kayfabe-vmm-kvm/src/vcpu.rs:200  classify_guest_exit
   ORPHAN  crates/kayfabe-vmm-kvm/src/vcpu.rs:218  enter_at
   ORPHAN  crates/kayfabe-vmm-kvm/src/vcpu.rs:228  report
   ORPHAN  crates/kayfabe-vmm-kvm/src/vcpu.rs:234  first_ram_declared_exit
   ORPHAN  crates/kayfabe-vmm-kvm/src/vcpu.rs:250  run_until
   ORPHAN  crates/kayfabe-vmm-qemu/src/classify.rs:50  is_ram
   ORPHAN  crates/kayfabe-vmm-qemu/src/classify.rs:62  classify
