GATE_START 2026-08-11T08:47:19+00:00 rev=a517402 scope=devgsp
== baseline: cargo check --workspace
   baseline OK
== candidates enumerated: 458  (inherent `pub fn` only; trait methods are out of scope)
   crates/kayfabe-device/src/cpuintr.rs:306  read
   crates/kayfabe-device/src/cpuintr.rs:323  write
   crates/kayfabe-device/src/cpuintr.rs:388  latch
   crates/kayfabe-device/src/cpuintr.rs:446  any_pending
   crates/kayfabe-device/src/doorbell.rs:153  is_served
   crates/kayfabe-device/src/doorbell.rs:162  refusal
   crates/kayfabe-device/src/doorbell.rs:171  token
   crates/kayfabe-device/src/faultbuffer.rs:125  new
   crates/kayfabe-device/src/faultbuffer.rs:137  total
   crates/kayfabe-device/src/faultbuffer.rs:146  shadow_total
   crates/kayfabe-device/src/faultbuffer.rs:152  access_cntr_total
   crates/kayfabe-device/src/faultbuffer.rs:158  sample
   crates/kayfabe-device/src/faultbuffer.rs:169  note
   crates/kayfabe-device/src/faultbuffer.rs:204  new
   crates/kayfabe-device/src/fbwin.rs:132  new
   crates/kayfabe-device/src/fbwin.rs:139  raw
   crates/kayfabe-device/src/fbwin.rs:144  set_raw
   crates/kayfabe-device/src/fbwin.rs:150  base
   crates/kayfabe-device/src/fbwin.rs:156  target
   crates/kayfabe-device/src/fbwin.rs:177  fb_addr
   crates/kayfabe-device/src/fbwin.rs:441  tags
   crates/kayfabe-device/src/fbwin.rs:592  with_cap
   crates/kayfabe-device/src/fbwin.rs:604  limit
   crates/kayfabe-device/src/fbwin.rs:610  resident_pages
   crates/kayfabe-device/src/ga10x.rs:287  at
   crates/kayfabe-device/src/guestsysinfo.rs:73  new
   crates/kayfabe-device/src/guestsysinfo.rs:88  agreed_version
   crates/kayfabe-device/src/gvaspub.rs:262  new
   crates/kayfabe-device/src/gvaspub.rs:269  note
   crates/kayfabe-device/src/gvaspub.rs:315  note_undecodable
   crates/kayfabe-device/src/gvaspub.rs:322  snapshot
   crates/kayfabe-device/src/gvaspub.rs:342  device_reset
   crates/kayfabe-device/src/gvaspub.rs:355  is_pde_publication
   crates/kayfabe-device/src/gvaspub.rs:374  new
   crates/kayfabe-device/src/gvaspub.rs:380  driver
   crates/kayfabe-device/src/inert.rs:107  new
   crates/kayfabe-device/src/inert.rs:116  is_inert
   crates/kayfabe-device/src/inittables.rs:168  is_gss_legacy
   crates/kayfabe-device/src/inittables.rs:1112  cmd_id
