# kayfabe-mmu::walker decode of cuda/walk/corpus/real_ga106.bin
# image <name> <benign 0|1> <leaf count>
# leaf <va-hex> <phys-hex> <size-hex> <aperture 0..3> <read_only 0|1>
image real_ga106_vas_2efa4c000 1 263
leaf 12c600000 c600000 200000 0 0
leaf 12c800000 c800000 200000 0 0
leaf 12ca00000 ca00000 200000 0 0
leaf 12cc00000 cc00000 200000 0 0
leaf 12ce00000 ce00000 200000 0 0
leaf 12d000000 d000000 200000 0 0
leaf 12d200000 d200000 200000 0 0
leaf 12d400000 d400000 200000 0 0
leaf 12d600000 d600000 200000 0 0
leaf 12d800000 d800000 200000 0 0
leaf 12da00000 da00000 200000 0 0
leaf 12dc00000 dc00000 200000 0 0
leaf 12de00000 de00000 200000 0 0
leaf 12e000000 e000000 200000 0 0
leaf 12e200000 e200000 200000 0 0
leaf 12e400000 e400000 200000 0 0
leaf 12e600000 e600000 200000 0 0
leaf 12e800000 e800000 200000 0 0
leaf 12ea00000 ea00000 200000 0 0
leaf 12ec00000 ec00000 200000 0 0
leaf 12ee00000 ee00000 200000 0 0
leaf 12f000000 f000000 200000 0 0
leaf 12f200000 f200000 200000 0 0
leaf 12f400000 f400000 200000 0 0
leaf 12f600000 f600000 200000 0 0
leaf 12f800000 f800000 200000 0 0
leaf 12fa00000 fa00000 200000 0 0
leaf 12fc00000 fc00000 200000 0 0
leaf 12fe00000 fe00000 200000 0 0
leaf 130000000 10000000 200000 0 0
leaf 130200000 10200000 200000 0 0
leaf 130400000 10400000 200000 0 0
leaf 130600000 10600000 200000 0 0
leaf 130800000 10800000 200000 0 0
leaf 130a00000 10a00000 200000 0 0
leaf 130c00000 10c00000 200000 0 0
leaf 130e00000 10e00000 200000 0 0
leaf 131000000 11000000 200000 0 0
leaf 131200000 11200000 200000 0 0
leaf 131400000 11400000 200000 0 0
leaf 131600000 11600000 200000 0 0
leaf 131800000 11800000 200000 0 0
leaf 131a00000 11a00000 200000 0 0
leaf 131c00000 11c00000 200000 0 0
leaf 131e00000 11e00000 200000 0 0
leaf 132000000 12000000 200000 0 0
leaf 132200000 12200000 200000 0 0
leaf 132400000 12400000 200000 0 0
leaf 132600000 12600000 200000 0 0
leaf 132800000 12800000 200000 0 0
leaf 132a00000 12a00000 200000 0 0
leaf 132c00000 12c00000 200000 0 0
leaf 132e00000 12e00000 200000 0 0
leaf 133000000 13000000 200000 0 0
leaf 133200000 13200000 200000 0 0
leaf 133400000 13400000 200000 0 0
leaf 133600000 13600000 200000 0 0
leaf 133800000 13800000 200000 0 0
leaf 133a00000 13a00000 200000 0 0
leaf 133c00000 13c00000 200000 0 0
leaf 133e00000 13e00000 200000 0 0
leaf 134000000 14000000 200000 0 0
leaf 134200000 14200000 200000 0 0
leaf 134400000 14400000 200000 0 0
leaf 134600000 14600000 200000 0 0
leaf 134800000 14800000 200000 0 0
leaf 134a00000 14a00000 200000 0 0
leaf 134c00000 14c00000 200000 0 0
leaf 134e00000 14e00000 200000 0 0
leaf 135000000 15000000 200000 0 0
leaf 135200000 15200000 200000 0 0
leaf 135400000 15400000 200000 0 0
leaf 135600000 15600000 200000 0 0
leaf 135800000 15800000 200000 0 0
leaf 135a00000 15a00000 200000 0 0
leaf 135c00000 15c00000 200000 0 0
leaf 135e00000 15e00000 200000 0 0
leaf 136000000 16000000 200000 0 0
leaf 136200000 16200000 200000 0 0
leaf 136400000 16400000 200000 0 0
leaf 136600000 16600000 200000 0 0
leaf 136800000 16800000 200000 0 0
leaf 136a00000 16a00000 200000 0 0
leaf 136c00000 16c00000 200000 0 0
leaf 136e00000 16e00000 200000 0 0
leaf 137000000 17000000 200000 0 0
leaf 137200000 17200000 200000 0 0
leaf 137400000 17400000 200000 0 0
leaf 137600000 17600000 200000 0 0
leaf 137800000 17800000 200000 0 0
leaf 137a00000 17a00000 200000 0 0
leaf 137c00000 17c00000 200000 0 0
leaf 137e00000 17e00000 200000 0 0
leaf 138000000 18000000 200000 0 0
leaf 138200000 18200000 200000 0 0
leaf 138400000 18400000 200000 0 0
leaf 138600000 18600000 200000 0 0
leaf 138800000 18800000 200000 0 0
leaf 138a00000 18a00000 200000 0 0
leaf 138c00000 18c00000 200000 0 0
leaf 138e00000 18e00000 200000 0 0
leaf 139000000 19000000 200000 0 0
leaf 139200000 19200000 200000 0 0
leaf 139400000 19400000 200000 0 0
leaf 139600000 19600000 200000 0 0
leaf 139800000 19800000 200000 0 0
leaf 139a00000 19a00000 200000 0 0
leaf 139c00000 19c00000 200000 0 0
leaf 139e00000 19e00000 200000 0 0
leaf 13a000000 1a000000 200000 0 0
leaf 13a200000 1a200000 200000 0 0
leaf 13a400000 1a400000 200000 0 0
leaf 13a600000 1a600000 200000 0 0
leaf 13a800000 1a800000 200000 0 0
leaf 13aa00000 1aa00000 200000 0 0
leaf 13ac00000 1ac00000 200000 0 0
leaf 13ae00000 1ae00000 200000 0 0
leaf 13b000000 1b000000 200000 0 0
leaf 13b200000 1b200000 200000 0 0
leaf 13b400000 1b400000 200000 0 0
leaf 13b600000 1b600000 200000 0 0
leaf 13b800000 1b800000 200000 0 0
leaf 13ba00000 1ba00000 200000 0 0
leaf 13bc00000 1bc00000 200000 0 0
leaf 13be00000 1be00000 200000 0 0
leaf 13c000000 1c000000 200000 0 0
leaf 13c200000 1c200000 200000 0 0
leaf 13c400000 1c400000 200000 0 0
leaf 13c600000 1c600000 200000 0 0
leaf 13c800000 1c800000 200000 0 0
leaf 13ca00000 1ca00000 200000 0 0
leaf 13cc00000 1cc00000 200000 0 0
leaf 13ce00000 1ce00000 200000 0 0
leaf 13d000000 1d000000 200000 0 0
leaf 13d200000 1d200000 200000 0 0
leaf 13d400000 1d400000 200000 0 0
leaf 13d600000 1d600000 200000 0 0
leaf 13d800000 1d800000 200000 0 0
leaf 13da00000 1da00000 200000 0 0
leaf 13dc00000 1dc00000 200000 0 0
leaf 13de00000 1de00000 200000 0 0
leaf 13e000000 1e000000 200000 0 0
leaf 13e200000 1e200000 200000 0 0
leaf 13e400000 1e400000 200000 0 0
leaf 13e600000 1e600000 200000 0 0
leaf 13e800000 1e800000 200000 0 0
leaf 13ea00000 1ea00000 200000 0 0
leaf 13ec00000 1ec00000 200000 0 0
leaf 13ee00000 1ee00000 200000 0 0
leaf 13f000000 1f000000 200000 0 0
leaf 13f200000 1f200000 200000 0 0
leaf 13f400000 1f400000 200000 0 0
leaf 13f600000 1f600000 200000 0 0
leaf 13f800000 1f800000 200000 0 0
leaf 13fa00000 1fa00000 200000 0 0
leaf 13fc00000 1fc00000 200000 0 0
leaf 13fe00000 1fe00000 200000 0 0
leaf 140000000 20000000 200000 0 0
leaf 140200000 20200000 200000 0 0
leaf 140400000 20400000 200000 0 0
leaf 140600000 20600000 200000 0 0
leaf 140800000 20800000 200000 0 0
leaf 140a00000 20a00000 200000 0 0
leaf 140c00000 20c00000 200000 0 0
leaf 140e00000 20e00000 200000 0 0
leaf 141000000 21000000 200000 0 0
leaf 141200000 21200000 200000 0 0
leaf 141400000 21400000 200000 0 0
leaf 141600000 21600000 200000 0 0
leaf 141800000 21800000 200000 0 0
leaf 141a00000 21a00000 200000 0 0
leaf 141c00000 21c00000 200000 0 0
leaf 141e00000 21e00000 200000 0 0
leaf 142000000 22000000 200000 0 0
leaf 142200000 22200000 200000 0 0
leaf 142400000 22400000 200000 0 0
leaf 142600000 22600000 200000 0 0
leaf 142800000 22800000 200000 0 0
leaf 142a00000 22a00000 200000 0 0
leaf 142c00000 22c00000 200000 0 0
leaf 142e00000 22e00000 200000 0 0
leaf 143000000 23000000 200000 0 0
leaf 143200000 23200000 200000 0 0
leaf 143400000 23400000 200000 0 0
leaf 143600000 23600000 200000 0 0
leaf 143800000 23800000 200000 0 0
leaf 143a00000 23a00000 200000 0 0
leaf 143c00000 23c00000 200000 0 0
leaf 143e00000 23e00000 200000 0 0
leaf 144000000 24000000 200000 0 0
leaf 144200000 24200000 200000 0 0
leaf 144400000 24400000 200000 0 0
leaf 144600000 24600000 200000 0 0
leaf 144800000 24800000 200000 0 0
leaf 144a00000 24a00000 200000 0 0
leaf 144c00000 24c00000 200000 0 0
leaf 144e00000 24e00000 200000 0 0
leaf 145000000 25000000 200000 0 0
leaf 145200000 25200000 200000 0 0
leaf 145400000 25400000 200000 0 0
leaf 145600000 25600000 200000 0 0
leaf 145800000 25800000 200000 0 0
leaf 145a00000 25a00000 200000 0 0
leaf 145c00000 25c00000 200000 0 0
leaf 145e00000 25e00000 200000 0 0
leaf 146000000 26000000 200000 0 0
leaf 146200000 26200000 200000 0 0
leaf 146400000 26400000 200000 0 0
leaf 146600000 26600000 200000 0 0
leaf 146800000 26800000 200000 0 0
leaf 146a00000 26a00000 200000 0 0
leaf 146c00000 26c00000 200000 0 0
leaf 146e00000 26e00000 200000 0 0
leaf 147000000 27000000 200000 0 0
leaf 147200000 27200000 200000 0 0
leaf 147400000 27400000 200000 0 0
leaf 147600000 27600000 200000 0 0
leaf 147800000 27800000 200000 0 0
leaf 147a00000 27a00000 200000 0 0
leaf 147c00000 27c00000 200000 0 0
leaf 147e00000 27e00000 200000 0 0
leaf 148000000 28000000 200000 0 0
leaf 148200000 28200000 200000 0 0
leaf 148400000 28400000 200000 0 0
leaf 148600000 28600000 200000 0 0
leaf 148800000 28800000 200000 0 0
leaf 148a00000 28a00000 200000 0 0
leaf 148c00000 28c00000 200000 0 0
leaf 148e00000 28e00000 200000 0 0
leaf 149000000 29000000 200000 0 0
leaf 149200000 29200000 200000 0 0
leaf 149400000 29400000 200000 0 0
leaf 149600000 29600000 200000 0 0
leaf 149800000 29800000 200000 0 0
leaf 149a00000 29a00000 200000 0 0
leaf 149c00000 29c00000 200000 0 0
leaf 149e00000 29e00000 200000 0 0
leaf 14a000000 2a000000 200000 0 0
leaf 14a200000 2a200000 200000 0 0
leaf 14a400000 2a400000 200000 0 0
leaf 14a600000 2a600000 200000 0 0
leaf 14a800000 2a800000 200000 0 0
leaf 14aa00000 2aa00000 200000 0 0
leaf 14ac00000 2ac00000 200000 0 0
leaf 14ae00000 2ae00000 200000 0 0
leaf 14b000000 2b000000 200000 0 0
leaf 14b200000 2b200000 200000 0 0
leaf 14b400000 2b400000 200000 0 0
leaf 14b600000 2b600000 200000 0 0
leaf 14b800000 2b800000 200000 0 0
leaf 14ba00000 2ba00000 200000 0 0
leaf 14bc00000 2bc00000 200000 0 0
leaf 14be00000 2be00000 200000 0 0
leaf 14c000000 2c000000 200000 0 0
leaf 14c200000 2c200000 200000 0 0
leaf 14c400000 2c400000 200000 0 0
leaf 14c600000 2c600000 200000 0 0
leaf 14c800000 2c800000 200000 0 0
leaf 14ca00000 2ca00000 200000 0 0
leaf 14cc00000 2cc00000 200000 0 0
leaf 14ce00000 2ce00000 200000 0 0
leaf 14d000000 2d000000 200000 0 0
leaf 14d200000 2d200000 200000 0 0
leaf 14d400000 2d400000 200000 0 0
leaf 14d600000 2d600000 200000 0 0
leaf 14d800000 2d800000 200000 0 0
leaf 14da00000 2da00000 200000 0 0
leaf 14dc00000 2dc00000 200000 0 0
leaf 14de00000 2de00000 200000 0 0
leaf 14e000000 2e000000 200000 0 0
