# kind	item	first_tag	last_tag	value    (measured by tools/drivermatrix/dm.py; tags 535.309.01..615.71.09, 29 of them)
# tags	535.309.01 545.23.08 550.40.07 550.54.14 550.90.07 555.42.02 560.28.03 565.57.01 570.86.15 570.124.06 570.148.08 575.51.02 575.51.03 575.57.08 575.64.05 580.65.06 580.82.07 580.94.02 580.95.05 580.105.08 580.126.09 580.159.04 580.173.02 580.178.04 590.48.01 595.84 610.43.02 610.57.04 615.71.09
field	GspFwWprMeta.bootloaderManifestOffset	535.309.01	615.71.09	64+8
field	GspFwWprMeta.fbSize	535.309.01	615.71.09	176+8
field	GspFwWprMeta.flags	535.309.01	615.71.09	241+1
field	GspFwWprMeta.frtsOffset	535.309.01	615.71.09	152+8
field	GspFwWprMeta.frtsSize	535.309.01	615.71.09	160+8
field	GspFwWprMeta.gspFwHeapOffset	535.309.01	615.71.09	120+8
field	GspFwWprMeta.gspFwHeapSize	535.309.01	615.71.09	128+8
field	GspFwWprMeta.gspFwHeapVfPartitionCount	535.309.01	615.71.09	240+1
field	GspFwWprMeta.gspFwOffset	535.309.01	615.71.09	136+8
field	GspFwWprMeta.gspFwRsvdStart	535.309.01	615.71.09	88+8
field	GspFwWprMeta.gspFwWprEnd	535.309.01	615.71.09	168+8
field	GspFwWprMeta.gspFwWprStart	535.309.01	615.71.09	112+8
field	GspFwWprMeta.magic	535.309.01	615.71.09	0+8
field	GspFwWprMeta.nonWprHeapOffset	535.309.01	615.71.09	96+8
field	GspFwWprMeta.nonWprHeapSize	535.309.01	615.71.09	104+8
field	GspFwWprMeta.padding	535.309.01	550.90.07	242+6@1
field	GspFwWprMeta.padding	555.42.02	610.57.04	242+2@1
field	GspFwWprMeta.padding	615.71.09	615.71.09	ABSENT
field	GspFwWprMeta.pagingConfig	535.309.01	610.57.04	ABSENT
field	GspFwWprMeta.pagingConfig	615.71.09	615.71.09	242+2
field	GspFwWprMeta.pmuReservedSize	535.309.01	550.90.07	ABSENT
field	GspFwWprMeta.pmuReservedSize	555.42.02	615.71.09	244+4
field	GspFwWprMeta.revision	535.309.01	615.71.09	8+8
field	GspFwWprMeta.sizeOfBootloader	535.309.01	615.71.09	40+8
field	GspFwWprMeta.sizeOfRadix3Elf	535.309.01	615.71.09	24+8
field	GspFwWprMeta.sysmemAddrOfBootloader	535.309.01	615.71.09	32+8
field	GspFwWprMeta.sysmemAddrOfRadix3Elf	535.309.01	615.71.09	16+8
field	GspFwWprMeta.verified	535.309.01	615.71.09	248+8
field	GspFwWprMeta.vgaWorkspaceOffset	535.309.01	615.71.09	184+8
field	GspFwWprMeta.vgaWorkspaceSize	535.309.01	615.71.09	192+8
sizeof	GspStaticConfigInfo	535.309.01	545.23.08	0+2168
sizeof	GspStaticConfigInfo	550.40.07	550.90.07	0+2184
sizeof	GspStaticConfigInfo	555.42.02	555.42.02	0+2216
sizeof	GspStaticConfigInfo	560.28.03	560.28.03	0+2224
sizeof	GspStaticConfigInfo	565.57.01	565.57.01	0+1640
sizeof	GspStaticConfigInfo	570.86.15	575.64.05	0+1656
sizeof	GspStaticConfigInfo	580.65.06	580.178.04	0+1792
sizeof	GspStaticConfigInfo	590.48.01	590.48.01	0+1808
sizeof	GspStaticConfigInfo	595.84	595.84	0+1592
sizeof	GspStaticConfigInfo	610.43.02	610.57.04	0+1600
